bankCode,bankName,dest
918,CROWN CAPITAL LIMITED,C:/python_work/bvn_user_actitities/destination/
919,NPF Micro finance Bank,C:/python_work/bvn_user_actitities/destination/
920,AG Mortgage Bank Plc,C:/python_work/bvn_user_actitities/destination/
921,FIRST TRUST MORTGAGE BANK PLC,C:/python_work/bvn_user_actitities/destination/
922,VALUELINE SECURITIES & INVESTMENTS LTD,C:/python_work/bvn_user_actitities/destination/
923,KAPITAL CARE TRUST & SECURITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
924,FINANCIAL TRUST CO. NIG LTD,C:/python_work/bvn_user_actitities/destination/
926,CAPITAL TRUST BROKERS LTD,C:/python_work/bvn_user_actitities/destination/
927,HEDGE SECURITIES & INV.CO.LTD,C:/python_work/bvn_user_actitities/destination/
928,del_SunTrust Bank,C:/python_work/bvn_user_actitities/destination/
929,MKUDI,C:/python_work/bvn_user_actitities/destination/
930,OHAFIA MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
931,Federal Mortgage Bank of Nigeria,C:/python_work/bvn_user_actitities/destination/
932,AIRTEL,C:/python_work/bvn_user_actitities/destination/
933,AMJU UNIQUE MFB,C:/python_work/bvn_user_actitities/destination/
934,AMCON,C:/python_work/bvn_user_actitities/destination/
935,BANK OF INDUSTRY,C:/python_work/bvn_user_actitities/destination/
936,Prudential,C:/python_work/bvn_user_actitities/destination/
938,EMPIRE TRUST MFB,C:/python_work/bvn_user_actitities/destination/
939,AMML MFB,C:/python_work/bvn_user_actitities/destination/
940,OTUKPO MICROFINANCE BANK LTD,C:/python_work/bvn_user_actitities/destination/
941,WOODLAND CAPITAL MARKETS PLC,C:/python_work/bvn_user_actitities/destination/
942,Travelex,C:/python_work/bvn_user_actitities/destination/
943,TCF MICROFINANCE BANK,C:/python_work/bvn_user_actitities/destination/
944,AXA MANSARD INVESTMENTS LTD,C:/python_work/bvn_user_actitities/destination/
945,Primera Credit Mfb Ltd,C:/python_work/bvn_user_actitities/destination/
946,MEGA EQUITIES LIMITED,C:/python_work/bvn_user_actitities/destination/
947,Global Asset  Management (NIG.) LTD,C:/python_work/bvn_user_actitities/destination/
948,BOCTRUST MFB,C:/python_work/bvn_user_actitities/destination/
949,Valmon Securities Ltd,C:/python_work/bvn_user_actitities/destination/
999,Bubayero Microfinance Bank Limited,C:/python_work/bvn_user_actitities/destination/
1001,Chams,C:/python_work/bvn_user_actitities/destination/
1009,Solid Rock MFB Ltd,C:/python_work/bvn_user_actitities/destination/
1678,PORTFOLIO ADVISERS LIMITED,C:/python_work/bvn_user_actitities/destination/
2001,Konga,C:/python_work/bvn_user_actitities/destination/
2011,Seamfix Nigeria Limited,C:/python_work/bvn_user_actitities/destination/
2013,Page Microfinance Bank Ltd,C:/python_work/bvn_user_actitities/destination/
2015,SAANA PAY,C:/python_work/bvn_user_actitities/destination/
2222,Randalpha Microfinance Bank Nig. limited,C:/python_work/bvn_user_actitities/destination/
